timestamp_utc,service,scenario,original_query,rewritten_query,excluded_terms,rewrite_error,use_llm,llm_model,llm_max_tokens,temperature,scoring_profile,min_score,limit,candidate_limit,rewrite_ms,search_ms,request_ms,rewrite_query_id,search_query_id,rewrite_total_elapsed_ms,search_total_elapsed_ms,request_total_elapsed_ms,rewrite_cost_total_credits,search_cost_total_credits,request_cost_total_credits,rewrite_cost_cloud_services_credits,search_cost_cloud_services_credits,rewrite_cost_compute_credits,search_cost_compute_credits,rewrite_cost_query_accel_credits,search_cost_query_accel_credits,include_tags_raw,include_tags_matched,include_tags_unknown,supported_languages_raw,supported_languages_matched,supported_languages_unknown,release_year_raw,release_year_matched,attribute_filters_enabled,attribute_filters_relaxed,attribute_filter_tags_requested,attribute_filter_supported_languages_requested,attribute_filter_release_year_requested,attribute_filter_tags,attribute_filter_supported_languages,attribute_filter_release_year,result_count,result_count_after_limit
2026-02-10T06:39:12+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"cozy cat cafe management sim, but NOT a visual novel, NOT anime, avoid paid games",cozy cat cafe management sim,"[""visual novel"", ""anime"", ""paid""]",,True,claude-4-sonnet,120,0.0,balanced_default,0.3,10,100,3195,1799,4994,01c2504f-0005-081e-0001-397a00047566,01c2504f-0005-07f0-0001-397a00043ce2;01c2504f-0005-081e-0001-397a00047576,3154,110,3264,7.4e-05,1.6e-05,9e-05,7.4e-05,1.6e-05,,,,,"[""cozy"", ""cat"", ""cafe"", ""management"", ""sim""]","[""cozy"", ""management""]","[""cat"", ""cafe"", ""sim""]",[],[],[],,,True,True,"[""cozy"", ""management""]",[],,[],[],,83,10
2026-02-10T06:39:16+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"cozy cat cafe management sim, but NOT a visual novel, NOT anime, avoid paid games",cozy cat cafe management sim,"[""visual novel"", ""anime"", ""paid""]",,True,claude-4-sonnet,120,0.0,balanced_default,0.65,10,100,1943,1740,3683,01c2504f-0005-081e-0001-397a0004757a,01c2504f-0005-07f0-0001-397a00043cee;01c2504f-0005-081a-0001-397a00045de2,1897,92,1989,4.7e-05,1.4e-05,6.1e-05,4.7e-05,1.4e-05,,,,,"[""cozy"", ""cat"", ""cafe"", ""management"", ""sim""]","[""cozy"", ""management""]","[""cat"", ""cafe"", ""sim""]",[],[],[],,,True,True,"[""cozy"", ""management""]",[],,[],[],,83,10
2026-02-10T06:39:20+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"cozy cat cafe management sim, but NOT a visual novel, NOT anime, avoid paid games",cozy cat cafe management sim,"[""visual novel"", ""anime"", ""paid""]",,True,claude-4-sonnet,120,0.0,balanced_default,0.75,10,100,1635,1661,3296,01c2504f-0005-081a-0001-397a00045de6,01c2504f-0005-081e-0001-397a0004758a;01c2504f-0005-081a-0001-397a00045dea,1517,82,1599,4.7e-05,1.2e-05,5.9e-05,4.7e-05,1.2e-05,,,,,"[""cozy"", ""cat"", ""cafe"", ""management"", ""sim""]","[""cozy"", ""management""]","[""cat"", ""cafe"", ""sim""]",[],[],[],,,True,True,"[""cozy"", ""management""]",[],,[],[],,54,10
2026-02-10T06:39:25+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"cozy cat cafe management sim, but NOT a visual novel, NOT anime, avoid paid games",cozy cat cafe management sim,"[""visual novel"", ""anime"", ""paid""]",,True,claude-4-sonnet,120,0.0,balanced_default,0.85,10,100,2555,1619,4174,01c2504f-0005-081e-0001-397a0004758e,01c2504f-0005-081a-0001-397a00045dee;01c2504f-0005-081e-0001-397a00047596,2486,85,2571,4.6e-05,1.3e-05,5.9e-05,4.6e-05,1.3e-05,,,,,"[""cozy"", ""cat"", ""cafe"", ""management"", ""sim""]","[""cozy"", ""management""]","[""cat"", ""cafe"", ""sim""]",[],[],[],,,True,True,"[""cozy"", ""management""]",[],,[],[],,1,1
2026-02-10T06:39:29+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"cozy cat cafe management sim, but NOT a visual novel, NOT anime, avoid paid games",cozy cat cafe management sim,"[""visual novel"", ""anime"", ""paid""]",,True,claude-4-sonnet,120,0.0,keyword_focus,0.3,10,100,2488,1639,4127,01c2504f-0005-081e-0001-397a0004759a,01c2504f-0005-0810-0001-397a00044db6;01c2504f-0005-07f0-0001-397a00043d0e,2446,96,2542,4.7e-05,1.4e-05,6.1e-05,4.7e-05,1.4e-05,,,,,"[""cozy"", ""cat"", ""cafe"", ""management"", ""sim""]","[""cozy"", ""management""]","[""cat"", ""cafe"", ""sim""]",[],[],[],,,True,True,"[""cozy"", ""management""]",[],,[],[],,83,10
2026-02-10T06:39:34+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"cozy cat cafe management sim, but NOT a visual novel, NOT anime, avoid paid games",cozy cat cafe management sim,"[""visual novel"", ""anime"", ""paid""]",,True,claude-4-sonnet,120,0.0,keyword_focus,0.65,10,100,2442,1742,4184,01c2504f-0005-081a-0001-397a00045dfe,01c2504f-0005-081a-0001-397a00045e02;01c2504f-0005-081a-0001-397a00045e06,2391,66,2457,4e-05,1e-05,5e-05,4e-05,1e-05,,,,,"[""cozy"", ""cat"", ""cafe"", ""management"", ""sim""]","[""cozy"", ""management""]","[""cat"", ""cafe"", ""sim""]",[],[],[],,,True,True,"[""cozy"", ""management""]",[],,[],[],,83,10
2026-02-10T06:39:38+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"cozy cat cafe management sim, but NOT a visual novel, NOT anime, avoid paid games",cozy cat cafe management sim,"[""visual novel"", ""anime"", ""paid""]",,True,claude-4-sonnet,120,0.0,keyword_focus,0.75,10,100,1592,1660,3252,01c2504f-0005-081e-0001-397a000475ae,01c2504f-0005-07f0-0001-397a00043d1a;01c2504f-0005-081a-0001-397a00045e0e,1550,83,1633,4.6e-05,1.2e-05,5.8e-05,4.6e-05,1.2e-05,,,,,"[""cozy"", ""cat"", ""cafe"", ""management"", ""sim""]","[""cozy"", ""management""]","[""cat"", ""cafe"", ""sim""]",[],[],[],,,True,True,"[""cozy"", ""management""]",[],,[],[],,54,10
2026-02-10T06:39:43+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"cozy cat cafe management sim, but NOT a visual novel, NOT anime, avoid paid games",cozy cat cafe management sim,"[""visual novel"", ""anime"", ""paid""]",,True,claude-4-sonnet,120,0.0,keyword_focus,0.85,10,100,2733,1885,4618,01c2504f-0005-07f0-0001-397a00043d1e,01c2504f-0005-081a-0001-397a00045e1a;01c2504f-0005-081e-0001-397a000475be,2688,84,2772,6.2e-05,1.3e-05,7.5e-05,6.2e-05,1.3e-05,,,,,"[""cozy"", ""cat"", ""cafe"", ""management"", ""sim""]","[""cozy"", ""management""]","[""cat"", ""cafe"", ""sim""]",[],[],[],,,True,True,"[""cozy"", ""management""]",[],,[],[],,1,1
2026-02-10T06:39:47+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"cozy cat cafe management sim, but NOT a visual novel, NOT anime, avoid paid games",cozy cat cafe management sim,"[""visual novel"", ""anime"", ""paid""]",,True,claude-4-sonnet,120,0.0,semantic_focus,0.3,10,100,1717,1743,3460,01c2504f-0005-081e-0001-397a000475c2,01c2504f-0005-0810-0001-397a00044dd6;01c2504f-0005-07f0-0001-397a00043d2e,1584,102,1686,4.8e-05,1.6e-05,6.4e-05,4.8e-05,1.6e-05,,,,,"[""cozy"", ""cat"", ""cafe"", ""management"", ""sim""]","[""cozy"", ""management""]","[""cat"", ""cafe"", ""sim""]",[],[],[],,,True,True,"[""cozy"", ""management""]",[],,[],[],,83,10
2026-02-10T06:39:51+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"cozy cat cafe management sim, but NOT a visual novel, NOT anime, avoid paid games",cozy cat cafe management sim,"[""visual novel"", ""anime"", ""paid""]",,True,claude-4-sonnet,120,0.0,semantic_focus,0.65,10,100,1633,1744,3377,01c2504f-0005-081e-0001-397a000475ca,01c2504f-0005-07f0-0001-397a00043d32;01c2504f-0005-081a-0001-397a00045e32,1528,76,1604,4.8e-05,1.1e-05,5.9e-05,4.8e-05,1.1e-05,,,,,"[""cozy"", ""cat"", ""cafe"", ""management"", ""sim""]","[""cozy"", ""management""]","[""cat"", ""cafe"", ""sim""]",[],[],[],,,True,True,"[""cozy"", ""management""]",[],,[],[],,83,10
