timestamp_utc,service,scenario,original_query,rewritten_query,excluded_terms,rewrite_error,use_llm,llm_model,llm_max_tokens,temperature,scoring_profile,min_score,limit,candidate_limit,rewrite_ms,search_ms,request_ms,rewrite_query_id,search_query_id,rewrite_total_elapsed_ms,search_total_elapsed_ms,request_total_elapsed_ms,rewrite_cost_total_credits,search_cost_total_credits,request_cost_total_credits,rewrite_cost_cloud_services_credits,search_cost_cloud_services_credits,rewrite_cost_compute_credits,search_cost_compute_credits,rewrite_cost_query_accel_credits,search_cost_query_accel_credits,include_tags_raw,include_tags_matched,include_tags_unknown,supported_languages_raw,supported_languages_matched,supported_languages_unknown,release_year_raw,release_year_from_raw,release_year_to_raw,release_year_matched,release_year_from_matched,release_year_to_matched,attribute_filters_enabled,attribute_filters_relaxed,attribute_filter_tags_requested,attribute_filter_supported_languages_requested,attribute_filter_release_year_requested,attribute_filter_release_year_from_requested,attribute_filter_release_year_to_requested,attribute_filter_tags,attribute_filter_supported_languages,attribute_filter_release_year,attribute_filter_release_year_from,attribute_filter_release_year_to,result_count,result_count_after_limit
2026-02-10T16:43:26+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"single-player ONLY, but I also need online co-op with friends",single-player online co-op friends,"[""multiplayer""]",,True,openai-gpt-4.1,120,0.0,balanced_default,0.3,10,100,1704,1237,2941,01c252ab-0005-0847-0001-397a0006151a,01c252ab-0005-0847-0001-397a0006151e,1629,69,1698,8e-05,1e-05,9e-05,8e-05,1e-05,,,,,[],[],[],[],[],[],,,,,,,True,False,[],[],,,,[],[],,,,48,10
2026-02-10T16:43:30+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"single-player ONLY, but I also need online co-op with friends",single-player online co-op friends,"[""multiplayer""]",,True,openai-gpt-4.1,120,0.0,balanced_default,0.65,10,100,2243,1034,3277,01c252ab-0005-0846-0001-397a000624fa,01c252ab-0005-0846-0001-397a000624fe,2169,59,2228,6.3e-05,9e-06,7.2e-05,6.3e-05,9e-06,,,,,[],[],[],[],[],[],,,,,,,True,False,[],[],,,,[],[],,,,48,10
2026-02-10T16:43:33+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"single-player ONLY, but I also need online co-op with friends",single-player online co-op friends,"[""multiplayer""]",,True,openai-gpt-4.1,120,0.0,balanced_default,0.75,10,100,1732,1230,2962,01c252ab-0005-0846-0001-397a00062502,01c252ab-0005-0843-0001-397a000634f6,1649,67,1716,8e-05,1e-05,9e-05,8e-05,1e-05,,,,,[],[],[],[],[],[],,,,,,,True,False,[],[],,,,[],[],,,,5,5
2026-02-10T16:43:37+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"single-player ONLY, but I also need online co-op with friends",single-player online co-op friends,"[""multiplayer""]",,True,openai-gpt-4.1,120,0.0,balanced_default,0.85,10,100,1533,1227,2760,01c252ab-0005-0847-0001-397a00061532,01c252ab-0005-0847-0001-397a00061536,1388,53,1441,5.6e-05,8e-06,6.4e-05,5.6e-05,8e-06,,,,,[],[],[],[],[],[],,,,,,,True,False,[],[],,,,[],[],,,,0,0
2026-02-10T16:43:40+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"single-player ONLY, but I also need online co-op with friends",single-player online co-op friends,"[""multiplayer""]",,True,openai-gpt-4.1,120,0.0,keyword_focus,0.3,10,100,1332,1000,2332,01c252ab-0005-0843-0001-397a00063502,01c252ab-0005-0847-0001-397a00061542,1275,37,1312,6.5e-05,6e-06,7.1e-05,6.5e-05,6e-06,,,,,[],[],[],[],[],[],,,,,,,True,False,[],[],,,,[],[],,,,48,10
2026-02-10T16:43:43+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"single-player ONLY, but I also need online co-op with friends",single-player online co-op friends,"[""multiplayer""]",,True,openai-gpt-4.1,120,0.0,keyword_focus,0.65,10,100,1149,1131,2280,01c252ab-0005-0847-0001-397a00061546,01c252ab-0005-0847-0001-397a0006154a,1036,41,1077,5.5e-05,6e-06,6.1e-05,5.5e-05,6e-06,,,,,[],[],[],[],[],[],,,,,,,True,False,[],[],,,,[],[],,,,48,10
2026-02-10T16:43:46+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"single-player ONLY, but I also need online co-op with friends",single-player online co-op friends,"[""multiplayer""]",,True,openai-gpt-4.1,120,0.0,keyword_focus,0.75,10,100,1426,1127,2553,01c252ab-0005-0847-0001-397a0006154e,01c252ab-0005-0847-0001-397a00061552,1309,38,1347,7.8e-05,6e-06,8.4e-05,7.8e-05,6e-06,,,,,[],[],[],[],[],[],,,,,,,True,False,[],[],,,,[],[],,,,5,5
2026-02-10T16:43:49+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"single-player ONLY, but I also need online co-op with friends",single-player online co-op friends,"[""multiplayer""]",,True,openai-gpt-4.1,120,0.0,keyword_focus,0.85,10,100,2148,1125,3273,01c252ab-0005-0843-0001-397a00063516,01c252ab-0005-0847-0001-397a0006155a,2037,45,2082,0.000177,7e-06,0.000184,0.000177,7e-06,,,,,[],[],[],[],[],[],,,,,,,True,False,[],[],,,,[],[],,,,0,0
2026-02-10T16:43:53+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"single-player ONLY, but I also need online co-op with friends",single-player online co-op friends,"[""multiplayer""]",,True,openai-gpt-4.1,120,0.0,semantic_focus,0.3,10,100,2201,1235,3436,01c252ab-0005-0846-0001-397a00062536,01c252ab-0005-0847-0001-397a00061566,1459,47,1506,8.7e-05,7e-06,9.4e-05,8.7e-05,7e-06,,,,,[],[],[],[],[],[],,,,,,,True,False,[],[],,,,[],[],,,,48,10
2026-02-10T16:43:57+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"single-player ONLY, but I also need online co-op with friends",single-player online co-op friends,"[""multiplayer""]",,True,openai-gpt-4.1,120,0.0,semantic_focus,0.65,10,100,1427,1132,2559,01c252ab-0005-0846-0001-397a0006253e,01c252ab-0005-0846-0001-397a00062542,1360,61,1421,8e-05,9e-06,8.9e-05,8e-05,9e-06,,,,,[],[],[],[],[],[],,,,,,,True,False,[],[],,,,[],[],,,,48,10
