timestamp_utc,service,scenario,original_query,rewritten_query,excluded_terms,rewrite_error,use_llm,llm_model,llm_max_tokens,temperature,scoring_profile,min_score,limit,candidate_limit,rewrite_ms,search_ms,request_ms,rewrite_query_id,search_query_id,rewrite_total_elapsed_ms,search_total_elapsed_ms,request_total_elapsed_ms,rewrite_cost_total_credits,search_cost_total_credits,request_cost_total_credits,rewrite_cost_cloud_services_credits,search_cost_cloud_services_credits,rewrite_cost_compute_credits,search_cost_compute_credits,rewrite_cost_query_accel_credits,search_cost_query_accel_credits,include_tags_raw,include_tags_matched,include_tags_unknown,supported_languages_raw,supported_languages_matched,supported_languages_unknown,release_year_raw,release_year_from_raw,release_year_to_raw,release_year_matched,release_year_from_matched,release_year_to_matched,attribute_filters_enabled,attribute_filters_relaxed,attribute_filter_tags_requested,attribute_filter_supported_languages_requested,attribute_filter_release_year_requested,attribute_filter_release_year_from_requested,attribute_filter_release_year_to_requested,attribute_filter_tags,attribute_filter_supported_languages,attribute_filter_release_year,attribute_filter_release_year_from,attribute_filter_release_year_to,result_count,result_count_after_limit
2026-02-10T16:21:49+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"stryy / stray?? neon city, dr0ne b12, cat stealth advnture, pls",stray neon city drone b12 cat stealth adventure,[],,True,openai-gpt-4.1,120,0.0,balanced_default,0.3,10,100,2109,2361,4470,01c25295-0005-0845-0001-397a0005d7c2,01c25295-0005-0845-0001-397a0005d7c6;01c25295-0005-0843-0001-397a00060f1a,1988,110,2098,7.6e-05,1.7e-05,9.3e-05,7.6e-05,1.7e-05,,,,,"[""cat"", ""stealth"", ""adventure""]","[""stealth"", ""adventure""]","[""cat""]",[],[],[],,,,,,,True,True,"[""stealth"", ""adventure""]",[],,,,[],[],,,,100,10
2026-02-10T16:21:53+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"stryy / stray?? neon city, dr0ne b12, cat stealth advnture, pls",stray neon city drone b12 cat stealth adventure,[],,True,openai-gpt-4.1,120,0.0,balanced_default,0.65,10,100,1637,1739,3376,01c25295-0005-0843-0001-397a00060f1e,01c25295-0005-0847-0001-397a0005ef72;01c25295-0005-0846-0001-397a0005ff52,1520,144,1664,5.4e-05,2.1e-05,7.5e-05,5.4e-05,2.1e-05,,,,,"[""cat"", ""stealth"", ""adventure""]","[""stealth"", ""adventure""]","[""cat""]",[],[],[],,,,,,,True,True,"[""stealth"", ""adventure""]",[],,,,[],[],,,,100,10
2026-02-10T16:21:57+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"stryy / stray?? neon city, dr0ne b12, cat stealth advnture, pls",stray neon city drone b12 cat stealth adventure,[],,True,openai-gpt-4.1,120,0.0,balanced_default,0.75,10,100,1945,1758,3703,01c25295-0005-0845-0001-397a0005d7d2,01c25295-0005-0846-0001-397a0005ff56;01c25295-0005-0846-0001-397a0005ff5a,1841,84,1925,5.4e-05,1.2e-05,6.6e-05,5.4e-05,1.2e-05,,,,,"[""cat"", ""stealth"", ""neon city""]","[""stealth""]","[""cat"", ""neon city""]",[],[],[],,,,,,,True,True,"[""stealth""]",[],,,,[],[],,,,1,1
2026-02-10T16:22:01+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"stryy / stray?? neon city, dr0ne b12, cat stealth advnture, pls",stray neon city drone b12 cat stealth adventure,[],,True,openai-gpt-4.1,120,0.0,balanced_default,0.85,10,100,1741,1739,3480,01c25295-0005-0845-0001-397a0005d7de,01c25296-0005-0843-0001-397a00060f32;01c25296-0005-0847-0001-397a0005ef86,1649,101,1750,5.1e-05,1.5e-05,6.6e-05,5.1e-05,1.5e-05,,,,,"[""cat"", ""stealth"", ""neon city""]","[""stealth""]","[""cat"", ""neon city""]",[],[],[],,,,,,,True,True,"[""stealth""]",[],,,,[],[],,,,0,0
2026-02-10T16:22:06+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"stryy / stray?? neon city, dr0ne b12, cat stealth advnture, pls",stray neon city drone b12 cat stealth adventure,[],,True,openai-gpt-4.1,120,0.0,keyword_focus,0.3,10,100,1843,2046,3889,01c25296-0005-0846-0001-397a0005ff66,01c25296-0005-0845-0001-397a0005d7ea;01c25296-0005-0843-0001-397a00060f3e,1773,123,1896,8.5e-05,1.9e-05,0.000104,8.5e-05,1.9e-05,,,,,"[""cat"", ""stealth"", ""adventure""]","[""stealth"", ""adventure""]","[""cat""]",[],[],[],,,,,,,True,True,"[""stealth"", ""adventure""]",[],,,,[],[],,,,100,10
2026-02-10T16:22:10+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"stryy / stray?? neon city, dr0ne b12, cat stealth advnture, pls",stray neon city drone b12 cat stealth adventure,[],,True,openai-gpt-4.1,120,0.0,keyword_focus,0.65,10,100,1639,1705,3344,01c25296-0005-0847-0001-397a0005ef92,01c25296-0005-0845-0001-397a0005d7f2;01c25296-0005-0845-0001-397a0005d7f6,1576,70,1646,5.7e-05,1e-05,6.7e-05,5.7e-05,1e-05,,,,,"[""cat"", ""stealth"", ""neon city""]","[""stealth""]","[""cat"", ""neon city""]",[],[],[],,,,,,,True,True,"[""stealth""]",[],,,,[],[],,,,100,10
2026-02-10T16:22:14+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"stryy / stray?? neon city, dr0ne b12, cat stealth advnture, pls",stray neon city drone b12 cat stealth adventure,[],,True,openai-gpt-4.1,120,0.0,keyword_focus,0.75,10,100,1944,1738,3682,01c25296-0005-0843-0001-397a00060f46,01c25296-0005-0847-0001-397a0005efa2;01c25296-0005-0846-0001-397a0005ff7e,1664,163,1827,5.5e-05,2.5e-05,8e-05,5.5e-05,2.5e-05,,,,,"[""cat"", ""stealth"", ""adventure""]","[""stealth"", ""adventure""]","[""cat""]",[],[],[],,,,,,,True,True,"[""stealth"", ""adventure""]",[],,,,[],[],,,,1,1
2026-02-10T16:22:18+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"stryy / stray?? neon city, dr0ne b12, cat stealth advnture, pls",stray neon city drone b12 cat stealth adventure,[],,True,openai-gpt-4.1,120,0.0,keyword_focus,0.85,10,100,1841,1739,3580,01c25296-0005-0846-0001-397a0005ff82,01c25296-0005-0846-0001-397a0005ff86;01c25296-0005-0846-0001-397a0005ff8a,1725,95,1820,6.3e-05,1.4e-05,7.7e-05,6.3e-05,1.4e-05,,,,,"[""cat"", ""stealth"", ""neon city""]","[""stealth""]","[""cat"", ""neon city""]",[],[],[],,,,,,,True,True,"[""stealth""]",[],,,,[],[],,,,0,0
2026-02-10T16:22:22+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"stryy / stray?? neon city, dr0ne b12, cat stealth advnture, pls",stray neon city drone b12 cat stealth adventure,[],,True,openai-gpt-4.1,120,0.0,semantic_focus,0.3,10,100,1432,2149,3581,01c25296-0005-0846-0001-397a0005ff8e,01c25296-0005-0847-0001-397a0005efae;01c25296-0005-0846-0001-397a0005ff92,1307,103,1410,6.6e-05,1.6e-05,8.2e-05,6.6e-05,1.6e-05,,,,,"[""cat"", ""stealth"", ""neon city"", ""drone"", ""b12""]","[""stealth""]","[""cat"", ""neon city"", ""drone"", ""b12""]",[],[],[],,,,,,,True,True,"[""stealth""]",[],,,,[],[],,,,100,10
2026-02-10T16:22:26+00:00,CORTEX_DB.RAW.CAT_GAMES_SVC_1_5,default,"stryy / stray?? neon city, dr0ne b12, cat stealth advnture, pls",stray neon city drone b12 cat stealth adventure,[],,True,openai-gpt-4.1,120,0.0,semantic_focus,0.65,10,100,1433,1843,3276,01c25296-0005-0846-0001-397a0005ff96,01c25296-0005-0845-0001-397a0005d816;01c25296-0005-0843-0001-397a00060f72,1330,108,1438,5.6e-05,1.7e-05,7.3e-05,5.6e-05,1.7e-05,,,,,"[""cat"", ""stealth"", ""neon city""]","[""stealth""]","[""cat"", ""neon city""]",[],[],[],,,,,,,True,True,"[""stealth""]",[],,,,[],[],,,,100,10
